,ENSG00000165914
ENSG00000165914,1.0
ENSG00000078369,0.982209774553365
ENSG00000170027,0.9690106898778705
ENSG00000138801,0.9633799386761777
ENSG00000259330,0.9629119560750995
ENSG00000176871,0.9612167730919212
ENSG00000188021,0.9606384927156624
ENSG00000107745,0.9598237799036345
ENSG00000123091,0.9595483914989102
ENSG00000116199,0.9594428012741796
ENSG00000127526,0.9594204931552052
ENSG00000132694,0.9582940996254946
ENSG00000161203,0.9581738032505135
ENSG00000168256,0.9577953234468576
ENSG00000072062,0.9576612934197932
ENSG00000148358,0.9570305409983568
ENSG00000129691,0.9567175284526755
ENSG00000162734,0.9565439358815278
ENSG00000006125,0.9562614004394254
ENSG00000196821,0.9561128027194767
ENSG00000084112,0.9559025090564799
ENSG00000071553,0.9558004396047749
ENSG00000132670,0.9557986693284501
ENSG00000148719,0.955597978672779
ENSG00000124214,0.9553188782919995
ENSG00000197226,0.9552131891691501
ENSG00000087460,0.9552056564291093
ENSG00000128245,0.9551536360186738
ENSG00000065000,0.9551155569463707
ENSG00000143862,0.9549894981076735
ENSG00000116688,0.954844381601503
ENSG00000122218,0.9546989848839962
ENSG00000104853,0.954123391239962
ENSG00000138107,0.9539976225024129
ENSG00000203879,0.9539058780143
ENSG00000196498,0.9538001987812627
ENSG00000175166,0.9534312329766256
ENSG00000143761,0.9529174341737583
ENSG00000115839,0.9528709223885343
ENSG00000204843,0.9528504175119241
ENSG00000175203,0.952662257247892
ENSG00000198752,0.9526047381020569
ENSG00000047249,0.9525525034123642
ENSG00000156642,0.9521704336069996
ENSG00000130985,0.9515233498095621
ENSG00000107758,0.9513820705503971
ENSG00000099817,0.9513463782193587
ENSG00000198853,0.9513057409823855
ENSG00000176095,0.9512630466645433
ENSG00000143393,0.9511282946812124
ENSG00000143776,0.9511206795260726
ENSG00000129245,0.9510112784271681
ENSG00000179262,0.9510099334127537
ENSG00000037637,0.9507270089713846
ENSG00000196961,0.9507264122860685
ENSG00000007047,0.9500120942509357
ENSG00000103353,0.9498802300926708
ENSG00000105953,0.9498627943543442
ENSG00000213753,0.9497857098640264
ENSG00000124535,0.9497487977895241
ENSG00000103549,0.9497222172718219
ENSG00000144647,0.9495787754404614
ENSG00000108861,0.9495467225601911
ENSG00000106682,0.9494802630244257
ENSG00000140632,0.9493948051600581
ENSG00000134108,0.9493673642287233
ENSG00000100991,0.9491255978877524
ENSG00000143294,0.9489318169139743
ENSG00000130939,0.9489100065821973
ENSG00000054523,0.9486224042598136
ENSG00000156639,0.9485667641782337
ENSG00000181852,0.9484147643630018
ENSG00000102316,0.9482833419496671
ENSG00000175470,0.9481971489426172
ENSG00000068394,0.9480860138300315
ENSG00000092964,0.9479056731105846
ENSG00000129473,0.9478285556542273
ENSG00000070614,0.9476910839726322
ENSG00000109111,0.94729788483231
ENSG00000155506,0.9472448193984203
ENSG00000196914,0.9472408008381972
ENSG00000167778,0.9470973161509851
ENSG00000147164,0.9469990015311869
ENSG00000092203,0.9469230279964025
ENSG00000197386,0.9468626902541845
ENSG00000170265,0.9468036909331727
ENSG00000133612,0.9467207483776242
ENSG00000156599,0.9465824261722082
ENSG00000149930,0.9464980726701662
ENSG00000054965,0.946002128274328
ENSG00000135956,0.945893521656977
ENSG00000167110,0.9458467725162681
ENSG00000111652,0.9456177805156294
ENSG00000132471,0.9456173156944715
ENSG00000173264,0.9456014425464203
ENSG00000017260,0.9455767971352406
ENSG00000183576,0.945565819444065
ENSG00000141568,0.9454703333104615
ENSG00000132535,0.9454275598741243
ENSG00000118816,0.9453465029760388
ENSG00000105723,0.9452672460237138
ENSG00000124422,0.9452260615504837
ENSG00000130725,0.9452049764715771
ENSG00000131473,0.9452026754420154
ENSG00000119487,0.9451646425221679
ENSG00000107863,0.9449006669603414
ENSG00000141367,0.9448788203659207
ENSG00000186111,0.9447303709931502
ENSG00000115216,0.9446694068961803
ENSG00000186432,0.9446595038978947
ENSG00000175582,0.9446057296941542
ENSG00000131100,0.9445662100059222
ENSG00000112759,0.94448825521216
ENSG00000257923,0.9444132871415825
ENSG00000185052,0.944400476538607
ENSG00000009335,0.9442612708433307
ENSG00000072958,0.9441337911683281
ENSG00000160714,0.9439625919316528
ENSG00000117640,0.9439393146111151
ENSG00000100243,0.9437376316776529
ENSG00000134590,0.9436941725476927
ENSG00000066044,0.9436723259532722
ENSG00000171148,0.9436666327182391
ENSG00000119383,0.9436034401169946
ENSG00000160216,0.9433276330435678
ENSG00000103404,0.9432547978757502
ENSG00000165861,0.9431413353607712
ENSG00000161202,0.9431286796981817
ENSG00000077549,0.9430702770624861
ENSG00000159352,0.9430361176522877
ENSG00000158186,0.9430001022540615
ENSG00000068308,0.9429109423034507
ENSG00000186187,0.9428908758751667
ENSG00000147416,0.9428014126369919
ENSG00000103043,0.9427828857227557
ENSG00000160584,0.9426288815723182
ENSG00000110497,0.9426108326656556
ENSG00000105568,0.9424158517280372
ENSG00000179010,0.9423797209486727
ENSG00000031823,0.9422344231292845
ENSG00000177963,0.9422332561314839
ENSG00000142186,0.9421827191928289
ENSG00000174903,0.9421558881332259
ENSG00000130227,0.94205693397226
ENSG00000110931,0.9418724164555999
ENSG00000114745,0.9418055613273596
ENSG00000072803,0.9417937990444424
ENSG00000196422,0.9416848363938641
ENSG00000103507,0.9415615401092825
ENSG00000204217,0.9414956805554372
ENSG00000090273,0.9413960934465115
ENSG00000137486,0.941214348373779
ENSG00000157837,0.9411805548866197
ENSG00000103502,0.9410980013303379
ENSG00000119318,0.9410322011153638
ENSG00000125818,0.9409850959414275
ENSG00000204842,0.9409839717994783
ENSG00000119522,0.9408349323345995
ENSG00000106244,0.9408132011213174
ENSG00000140564,0.9408075837081753
ENSG00000178719,0.9407785604069412
ENSG00000136485,0.9407481591252532
ENSG00000102870,0.9407384077707496
ENSG00000022840,0.9407015748147423
ENSG00000120029,0.9406071666706325
ENSG00000185963,0.9405990932875428
ENSG00000137100,0.9405114959272074
ENSG00000007168,0.9402883224325519
ENSG00000108509,0.9402163246021393
ENSG00000110321,0.9402153257311404
ENSG00000171475,0.9401823366153466
ENSG00000075785,0.94003387405616
ENSG00000126461,0.939978705388946
ENSG00000130560,0.9399085866227886
ENSG00000100418,0.9398547365971571
ENSG00000169221,0.9398125598461362
ENSG00000115310,0.9397582384061389
ENSG00000167987,0.9397034785178154
ENSG00000105993,0.9396913931677106
ENSG00000080802,0.9395632937311641
ENSG00000125971,0.9395521545063946
ENSG00000071127,0.9394459445201202
ENSG00000105186,0.9394346701345886
ENSG00000100403,0.9394001217251231
ENSG00000134287,0.9393575922374787
ENSG00000108175,0.9393115518666205
ENSG00000152102,0.9393037586948672
ENSG00000132792,0.9390869179764124
ENSG00000197102,0.9390831400682781
ENSG00000100280,0.9390187310201736
ENSG00000100030,0.9389502144035391
ENSG00000168439,0.93886259726358
ENSG00000196663,0.9387618827161013
ENSG00000115170,0.9387511193041829
ENSG00000078140,0.9387161983784704
ENSG00000104969,0.9386555474588765
ENSG00000170035,0.93860405120847
ENSG00000186318,0.9385535670154783
ENSG00000143164,0.9383565059207634
ENSG00000153885,0.9383320385261973
ENSG00000125386,0.9383043866122092
